price_range;Brand;Model;RAM;Storage;Color
alto;Samsung;Galaxy A54;8;256;Green
alto;Apple;iPhone 13;4;128;Black
alto;Apple;iPhone 12;4;256;Blue
médio;POCO;X5 Pro;6;128;Blue
alto;Apple;iPhone 13;4;128;Blue
médio;Xiaomi;Redmi Note 12;8;128;Black
médio;Samsung;Galaxy A54;8;128;Green
alto;Xiaomi;12;8;256;Gray
muito alto;Apple;iPhone 13;4;256;Pink
baixo;ZTE;Blade A52;2;64;Gray
muito alto;Apple;iPhone 14;6;512;Blue
baixo;Vivo;Y16;4;128;Black
alto;Samsung;Galaxy S22;6;256;Green
baixo;Vivo;Y16;4;128;Gold
alto;Apple;iPhone 12;4;256;Silver
médio;Xiaomi;Redmi 10;4;128;Gray
alto;Motorola;Razr 40;8;256;Gold
baixo;Xiaomi;Redmi 9A;2;32;Gray
médio;Samsung;Galaxy A54;8;128;White
baixo;ZTE;Blade A72;3;64;Gray
médio;Xiaomi;Redmi Note 11;6;128;Gray
alto;Realme;GT2;12;256;Black
alto;Samsung;Galaxy S23;6;256;White
muito alto;Samsung;Galaxy S23;6;256;White
médio;OnePlus;Nord CE 3;8;128;Green
muito alto;Samsung;Galaxy S23;6;512;White
baixo;Samsung;Galaxy A14;4;64;Green
baixo;OPPO;A57s;4;128;Blue
baixo;TCL;20 R;4;64;Blue
médio;Xiaomi;Redmi Note 12;6;128;Blue
muito alto;Samsung;Galaxy Z Flip4;8;256;Gray
baixo;CAT;S42H+;3;32;Black
muito alto;Apple;iPhone 14;6;256;White
médio;Samsung;Galaxy A53;6;128;Black
médio;POCO;X5;6;128;Black
alto;Nothing;Phone (1);12;256;White
médio;Vivo;V21 5G;8;128;Blue
baixo;POCO;M5;4;64;Black
médio;Vivo;V21 5G;8;128;Yellow
muito alto;Apple;iPhone 14;6;512;Gold
muito alto;Xiaomi;13;8;256;Black
muito alto;Apple;iPhone 14;6;128;Red
baixo;SPC;Smart Ultimate;3;32;Black
alto;Samsung;Galaxy S23;6;128;Purple
alto;Motorola;Edge 40;12;256;Gold
muito alto;Samsung;Galaxy S23;6;256;Green
médio;OnePlus;Nord CE 2;6;128;Black
baixo;Xiaomi;Redmi 9C;3;64;Gray
médio;Samsung;Galaxy A34;6;128;Purple
